machine,function,segment size [B],size,run_date,avg [s],std [s],rel_variance [%],rep_0,rep_1,rep_2,rep_3,rep_4
PC_AMD_Ryzen_7_7735HS,numpy_vectorized_inner_loop,-,10000000,2026-07-05T07:49:45,0.03419756000221241,0.00835356027908062,24.42735762007636,0.04769479999959003,0.02898560000176076,0.026341000004322268,0.0319869000086328,0.035979499996756203
PC_AMD_Ryzen_7_7735HS,numpy_vectorized_inner_loop,-,50000000,2026-07-05T07:49:45,0.3008765200007474,0.02239017590664578,7.441649453599823,0.3366002999973716,0.2968537999986438,0.30284400000527967,0.29247590000159107,0.27560860000085086
PC_AMD_Ryzen_7_7735HS,numpy_vectorized_inner_loop,-,100000000,2026-07-05T07:49:45,0.6306502399995224,0.0075771248139501115,1.2014781464216757,0.6389826999948127,0.6347239000024274,0.6205743000027724,0.6250473999971291,0.6339229000004707
PC_AMD_Ryzen_7_7735HS,numpy_vectorized_inner_loop,-,200000000,2026-07-05T07:49:45,1.3465716799953953,0.016683698516180324,1.2389758944163578,1.3502220999944257,1.3441130999999586,1.3205214999907184,1.3517059000005247,1.3662957999913488
PC_AMD_Ryzen_7_7735HS,serial_segmented,25000,10000000,2026-07-05T07:49:45,0.1094327999977395,0.002589997653594804,2.3667471303378003,0.11363429999619257,0.10694509999302682,0.10772270000597928,0.10961349999706727,0.10924839999643154
PC_AMD_Ryzen_7_7735HS,serial_segmented,30000,10000000,2026-07-05T07:49:45,0.10891358000226319,0.01587159945882259,14.572654262666589,0.09715270000742748,0.09969899999850895,0.10120770000503398,0.11073000000033062,0.1357785000000149
PC_AMD_Ryzen_7_7735HS,serial_segmented,35000,10000000,2026-07-05T07:49:45,0.09815639999869745,0.008317934252437644,8.474163938926065,0.10623179998947307,0.09788169999956153,0.10636790000717156,0.08733599999686703,0.09296460000041407
PC_AMD_Ryzen_7_7735HS,serial_segmented,400000,10000000,2026-07-05T07:49:45,0.026867340001626872,0.0008629393087078232,3.2118524150718692,0.027752299996791407,0.027227200000197627,0.026515400008065626,0.025542400006088428,0.02729939999699127
PC_AMD_Ryzen_7_7735HS,serial_segmented,500000,10000000,2026-07-05T07:49:45,0.028862760000629352,0.0015128653466640034,5.241582394168179,0.028606100007891655,0.028363499994156882,0.028766400006134063,0.031346499992650934,0.02723130000231322
PC_AMD_Ryzen_7_7735HS,serial_segmented,600000,10000000,2026-07-05T07:49:45,0.023672300000907854,0.0007639347088749086,3.2271249893149845,0.02486190000490751,0.02401510000345297,0.023056899997754954,0.023249599995324388,0.02317800000309944
PC_AMD_Ryzen_7_7735HS,serial_segmented,25000,50000000,2026-07-05T07:49:45,1.0480455199984136,0.04306089243498613,4.108685320753177,1.099512600005255,1.0574848999967799,1.0751100999914343,1.0102670999913244,0.997852900007274
PC_AMD_Ryzen_7_7735HS,serial_segmented,30000,50000000,2026-07-05T07:49:45,0.8511297399993054,0.008584054691945177,1.00854831978403,0.8580305999930715,0.8611557999975048,0.8499490000103833,0.8399981999973534,0.8465150999982143
PC_AMD_Ryzen_7_7735HS,serial_segmented,35000,50000000,2026-07-05T07:49:45,0.7538923799962504,0.020288463625398784,2.6911617843251965,0.7426026000030106,0.7631159999873489,0.7371150999970268,0.7412353999970946,0.7853927999967709
PC_AMD_Ryzen_7_7735HS,serial_segmented,400000,50000000,2026-07-05T07:49:45,0.1528123400028562,0.004790580863537431,3.1349437247331533,0.14949690000503324,0.14952600000833627,0.1521221000002697,0.16109209999558516,0.1518246000050567
PC_AMD_Ryzen_7_7735HS,serial_segmented,500000,50000000,2026-07-05T07:49:45,0.13298450000584125,0.0026883674898165667,2.0215645354898366,0.13757570000598207,0.1305397000105586,0.13196880000759847,0.1327210000017658,0.13211730000330135
PC_AMD_Ryzen_7_7735HS,serial_segmented,600000,50000000,2026-07-05T07:49:45,0.13261560000246392,0.006208887962713471,4.681868469922176,0.1425327000033576,0.12943760000052862,0.12691289999929722,0.1346168000018224,0.12957800000731368
PC_AMD_Ryzen_7_7735HS,serial_segmented,25000,100000000,2026-07-05T07:49:45,2.693207219999749,0.032983931040510894,1.2247082510239953,2.6841654000018025,2.6507927000056952,2.6786922000028426,2.7326819999871077,2.719703800001298
PC_AMD_Ryzen_7_7735HS,serial_segmented,30000,100000000,2026-07-05T07:49:45,2.336506019992521,0.0172648203721266,0.7389161519122414,2.349607799988007,2.307815699998173,2.3431941000017105,2.3334340999863343,2.3484783999883803
PC_AMD_Ryzen_7_7735HS,serial_segmented,35000,100000000,2026-07-05T07:49:45,2.093965719998232,0.01265699174336357,0.6044507616568936,2.0722311999998055,2.1043048999999883,2.0978212999907555,2.100753899998381,2.0947173000022303
PC_AMD_Ryzen_7_7735HS,serial_segmented,400000,100000000,2026-07-05T07:49:45,0.36589231999823824,0.011049571881596195,3.019897187688825,0.3483362999977544,0.36201810000056867,0.375325699991663,0.37044199999945704,0.3733395000017481
PC_AMD_Ryzen_7_7735HS,serial_segmented,500000,100000000,2026-07-05T07:49:45,0.3425628199998755,0.03845622167347067,11.226034884195736,0.3258092000032775,0.31961320000118576,0.33555459999479353,0.32137609999335837,0.41046100000676233
PC_AMD_Ryzen_7_7735HS,serial_segmented,600000,100000000,2026-07-05T07:49:45,0.37116470000182744,0.03517288820729167,9.476355970036616,0.4308325000019977,0.3442245000042021,0.3602097999973921,0.3726370000076713,0.347919699997874
PC_AMD_Ryzen_7_7735HS,serial_segmented,25000,200000000,2026-07-05T07:49:45,9.021491420001258,1.195976961274222,13.256976098460393,7.992429300007643,8.000463799995487,10.919877199994517,9.145310600011726,9.049376199996914
PC_AMD_Ryzen_7_7735HS,serial_segmented,30000,200000000,2026-07-05T07:49:45,9.998624100000598,3.0265728845478583,30.269893680148225,8.100140199996531,13.619547999987844,12.974282100010896,7.517970100001548,7.781180100006168
PC_AMD_Ryzen_7_7735HS,serial_segmented,35000,200000000,2026-07-05T07:49:45,6.181314980000025,0.1645019200457411,2.6612771000668283,6.222938499995507,6.39019439999538,6.030602400001953,5.9987792000029,6.264060400004382
PC_AMD_Ryzen_7_7735HS,serial_segmented,400000,200000000,2026-07-05T07:49:45,0.8786050399998203,0.02406870733038203,2.7394228617658456,0.910890200000722,0.8878476999962004,0.8839621000079205,0.84961019999173,0.8607150000025285
PC_AMD_Ryzen_7_7735HS,serial_segmented,500000,200000000,2026-07-05T07:49:45,0.7961798800010002,0.03671080717087022,4.610868484999156,0.8141262999997707,0.8334553000022424,0.8131751999899279,0.7798539000068558,0.7402887000062037
PC_AMD_Ryzen_7_7735HS,serial_segmented,600000,200000000,2026-07-05T07:49:45,0.7304777199984528,0.036490418850063225,4.995418457135218,0.7903804000088712,0.7394572999910451,0.7065301999973599,0.7141008999897167,0.7019198000052711
